id	label
0	about
1	actor
2	affiliation
3	alumniOf
4	author
5	award
6	birthPlace
7	brand
8	callSign
9	children
10	containedInPlace
11	containsPlace
12	contentLocation
13	contributor
14	copyrightHolder
15	countryOfOrigin
16	creator
17	deathPlace
18	editor
19	familyName
20	founder
21	gender
22	genre
23	givenName
24	hasOccupation
25	hasPart
26	homeLocation
27	honorificPrefix
28	iataCode
29	icaoCode
30	inLanguage
31	isBasedOn
32	isPartOf
33	knowsLanguage
34	license
35	location
36	material
37	memberOf
38	musicBy
39	nationality
40	organizer
41	owns
42	parentOrganization
43	partOfSeries
44	producer
45	productionCompany
46	provider
47	publisher
48	sponsor
49	sport
50	spouse
51	subEvent
52	subOrganization
53	superEvent
54	worksFor
